source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121,vgg16,FGSM,500,500,90,0.18,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,FGSM,500,500,73,0.146,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,FGSM,500,500,66,0.132,1.0,2025-09-24 07:00:09
densenet121,resnet18,GN,341,341,186,0.5454545454545454,1.0,2025-09-24 07:00:09
densenet121,vgg16,GN,341,341,148,0.4340175953079179,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,GN,341,341,172,0.5043988269794721,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,GN,341,341,281,0.8240469208211144,1.0,2025-09-24 07:00:09
densenet121,resnet18,Jitter,500,500,41,0.082,1.0,2025-09-24 07:00:09
densenet121,vgg16,Jitter,500,500,47,0.094,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,Jitter,500,500,28,0.056,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,Jitter,500,500,17,0.034,1.0,2025-09-24 07:00:09
densenet121,resnet18,MIFGSM,500,500,147,0.294,1.0,2025-09-24 07:00:09
densenet121,vgg16,MIFGSM,500,500,83,0.166,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,MIFGSM,500,500,95,0.19,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,MIFGSM,500,500,84,0.168,1.0,2025-09-24 07:00:09
densenet121,resnet18,NIFGSM,500,500,134,0.268,1.0,2025-09-24 07:00:09
densenet121,vgg16,NIFGSM,500,500,80,0.16,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,NIFGSM,500,500,76,0.152,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,NIFGSM,500,500,55,0.11,1.0,2025-09-24 07:00:09
densenet121,resnet18,PGD,500,500,99,0.198,1.0,2025-09-24 07:00:09
densenet121,vgg16,PGD,500,500,74,0.148,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,PGD,500,500,63,0.126,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,PGD,500,500,50,0.1,1.0,2025-09-24 07:00:09
