source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,PGD,500,500,39,0.078,1.0,2026-04-18 21:14:27
densenet121_adv_preattacked_20260415,resnet18_advanced,PGD,500,500,32,0.064,1.0,2026-04-18 21:14:35
densenet121_adv_preattacked_20260415,densenet121_advanced,PGD,500,500,486,0.972,1.0,2026-04-18 21:14:46
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,PGD,500,500,22,0.044,1.0,2026-04-18 21:15:00
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,PGD,500,500,12,0.024,1.0,2026-04-18 21:15:14
densenet121_adv_preattacked_20260415,vgg16_advanced,PGD,500,500,40,0.08,1.0,2026-04-18 21:15:43
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,PGDL2,500,500,6,0.012,1.0,2026-04-18 21:22:13
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,PGDL2,500,500,7,0.014,1.0,2026-04-18 21:22:27
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,PGDL2,500,500,20,0.04,1.0,2026-04-18 21:22:53
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,PGDL2,500,500,22,0.044,1.0,2026-04-18 21:23:16
densenet121_adv_preattacked_20260415,resnet18_advanced,PGDL2,500,500,12,0.024,1.0,2026-04-18 21:23:21
densenet121_adv_preattacked_20260415,densenet121_advanced,PGDL2,500,500,236,0.472,1.0,2026-04-18 21:23:33
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,PGDL2,500,500,4,0.008,1.0,2026-04-18 21:23:44
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,PGDL2,500,500,2,0.004,1.0,2026-04-18 21:23:55
densenet121_adv_preattacked_20260415,vgg16_advanced,PGDL2,500,500,17,0.034,1.0,2026-04-18 21:24:26
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,PGDRS,500,500,47,0.094,1.0,2026-04-18 23:49:27
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,PGDRS,500,500,48,0.096,1.0,2026-04-18 23:49:36
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,PGDRS,500,500,69,0.138,1.0,2026-04-18 23:49:59
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,PGDRS,500,500,68,0.136,1.0,2026-04-19 10:44:59
densenet121_adv_preattacked_20260415,resnet18_advanced,PGDRS,500,500,100,0.2,1.0,2026-04-19 10:45:15
densenet121_adv_preattacked_20260415,densenet121_advanced,PGDRS,500,500,488,0.976,1.0,2026-04-19 10:45:41
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,PGDRS,500,500,57,0.114,1.0,2026-04-19 10:46:03
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,PGDRS,500,500,49,0.098,1.0,2026-04-19 10:46:24
densenet121_adv_preattacked_20260415,vgg16_advanced,PGDRS,500,500,63,0.126,1.0,2026-04-19 10:46:43
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,PGDRSL2,500,500,18,0.036,1.0,2026-04-19 12:52:30
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,PGDRSL2,500,500,21,0.042,1.0,2026-04-19 12:52:48
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,PGDRSL2,500,500,55,0.11,1.0,2026-04-19 12:53:13
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,PGDRSL2,500,500,75,0.15,1.0,2026-04-19 14:12:39
densenet121_adv_preattacked_20260415,resnet18_advanced,PGDRSL2,500,500,36,0.072,1.0,2026-04-19 14:12:40
densenet121_adv_preattacked_20260415,densenet121_advanced,PGDRSL2,500,500,141,0.282,1.0,2026-04-19 14:12:42
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,PGDRSL2,500,500,19,0.038,1.0,2026-04-19 14:12:43
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,PGDRSL2,500,500,13,0.026,1.0,2026-04-19 14:12:43
densenet121_adv_preattacked_20260415,vgg16_advanced,PGDRSL2,500,500,63,0.126,1.0,2026-04-19 14:12:46
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,RFGSM,500,500,23,0.046,1.0,2026-04-19 14:18:29
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,RFGSM,500,500,41,0.082,1.0,2026-04-19 14:18:30
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,RFGSM,500,500,60,0.12,1.0,2026-04-19 14:18:30
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,RFGSM,500,500,58,0.116,1.0,2026-04-19 14:18:32
densenet121_adv_preattacked_20260415,resnet18_advanced,RFGSM,500,500,63,0.126,1.0,2026-04-19 14:18:33
